epoch=128 loss_d=0.4884 loss_g=1.2775 d_real=0.6641 d_fake=0.3069
epoch=129 loss_d=0.5234 loss_g=1.0913 d_real=0.6724 d_fake=0.3350
epoch=130 loss_d=0.5400 loss_g=1.1393 d_real=0.6521 d_fake=0.3440
epoch=131 loss_d=0.4874 loss_g=1.2081 d_real=0.6587 d_fake=0.2703
epoch=132 loss_d=0.4687 loss_g=1.2360 d_real=0.6882 d_fake=0.2993
epoch=133 loss_d=0.4552 loss_g=1.5270 d_real=0.6967 d_fake=0.2713
epoch=134 loss_d=0.4611 loss_g=1.2903 d_real=0.7318 d_fake=0.3074
epoch=135 loss_d=0.4018 loss_g=1.8945 d_real=0.7112 d_fake=0.2121
epoch=136 loss_d=0.3489 loss_g=1.6112 d_real=0.7838 d_fake=0.2038
epoch=137 loss_d=0.3376 loss_g=2.1345 d_real=0.7845 d_fake=0.1680
epoch=138 loss_d=0.3699 loss_g=1.9854 d_real=0.7570 d_fake=0.1893
epoch=139 loss_d=0.7599 loss_g=1.5030 d_real=0.7288 d_fake=0.4087
epoch=140 loss_d=0.4282 loss_g=2.1719 d_real=0.7889 d_fake=0.2391
epoch=141 loss_d=0.3524 loss_g=1.3284 d_real=0.8170 d_fake=0.2528
epoch=142 loss_d=0.3707 loss_g=1.4807 d_real=0.8267 d_fake=0.2471
epoch=143 loss_d=0.3148 loss_g=1.5430 d_real=0.8609 d_fake=0.2021
epoch=144 loss_d=0.3810 loss_g=1.4763 d_real=0.8254 d_fake=0.2285
epoch=145 loss_d=0.3563 loss_g=1.8039 d_real=0.8242 d_fake=0.1792
epoch=146 loss_d=0.3389 loss_g=1.6882 d_real=0.8611 d_fake=0.1889
epoch=147 loss_d=0.3407 loss_g=1.9197 d_real=0.8530 d_fake=0.1766
epoch=148 loss_d=0.3125 loss_g=1.8350 d_real=0.8302 d_fake=0.1439
epoch=149 loss_d=0.3287 loss_g=1.9168 d_real=0.8291 d_fake=0.1469
epoch=150 loss_d=0.3057 loss_g=2.2028 d_real=0.8473 d_fake=0.1397
epoch=151 loss_d=0.2959 loss_g=2.1327 d_real=0.8473 d_fake=0.1352
epoch=152 loss_d=0.3190 loss_g=2.3365 d_real=0.8574 d_fake=0.1345
epoch=153 loss_d=0.2848 loss_g=2.2267 d_real=0.8506 d_fake=0.1244
epoch=154 loss_d=0.3090 loss_g=2.1255 d_real=0.8464 d_fake=0.1267
epoch=155 loss_d=0.2782 loss_g=2.4432 d_real=0.8699 d_fake=0.1226
epoch=156 loss_d=0.2800 loss_g=2.2517 d_real=0.8562 d_fake=0.1191
epoch=157 loss_d=0.2386 loss_g=2.9196 d_real=0.8662 d_fake=0.0759
epoch=158 loss_d=0.3257 loss_g=1.9763 d_real=0.8609 d_fake=0.1930
epoch=159 loss_d=0.3120 loss_g=2.0741 d_real=0.8438 d_fake=0.1685
epoch=160 loss_d=0.3373 loss_g=2.5439 d_real=0.8262 d_fake=0.1379
epoch=161 loss_d=0.3153 loss_g=2.5093 d_real=0.8717 d_fake=0.1525
epoch=162 loss_d=0.3862 loss_g=1.6212 d_real=0.8080 d_fake=0.2398
epoch=163 loss_d=0.4246 loss_g=1.7385 d_real=0.7641 d_fake=0.2497
epoch=164 loss_d=0.4464 loss_g=1.4581 d_real=0.7477 d_fake=0.2633
epoch=165 loss_d=0.4732 loss_g=1.5825 d_real=0.7465 d_fake=0.2859
epoch=166 loss_d=0.5354 loss_g=1.5773 d_real=0.6998 d_fake=0.2713
epoch=167 loss_d=0.5008 loss_g=1.2560 d_real=0.7728 d_fake=0.3378
epoch=168 loss_d=0.4720 loss_g=1.4510 d_real=0.7099 d_fake=0.2484
epoch=169 loss_d=0.5770 loss_g=1.3500 d_real=0.7011 d_fake=0.3241
epoch=170 loss_d=0.4908 loss_g=1.4819 d_real=0.7401 d_fake=0.3047
epoch=171 loss_d=0.5076 loss_g=1.2445 d_real=0.6663 d_fake=0.3189
epoch=172 loss_d=0.4666 loss_g=1.4612 d_real=0.6959 d_fake=0.2655
epoch=173 loss_d=0.4878 loss_g=1.1189 d_real=0.6970 d_fake=0.3023
epoch=174 loss_d=0.4833 loss_g=1.2455 d_real=0.6724 d_fake=0.2893
epoch=175 loss_d=0.5497 loss_g=1.1211 d_real=0.6712 d_fake=0.3289
epoch=176 loss_d=0.5379 loss_g=1.2469 d_real=0.6354 d_fake=0.2992
epoch=177 loss_d=0.4962 loss_g=1.2928 d_real=0.6758 d_fake=0.2907
epoch=178 loss_d=0.4671 loss_g=1.2638 d_real=0.6958 d_fake=0.2837
epoch=179 loss_d=0.4915 loss_g=1.2971 d_real=0.6527 d_fake=0.2622
epoch=180 loss_d=0.6175 loss_g=1.1398 d_real=0.6216 d_fake=0.3530
epoch=181 loss_d=0.5076 loss_g=1.1758 d_real=0.6899 d_fake=0.3356
epoch=182 loss_d=0.5171 loss_g=1.1452 d_real=0.6735 d_fake=0.3344
epoch=183 loss_d=0.4959 loss_g=1.3650 d_real=0.6520 d_fake=0.2722
epoch=184 loss_d=0.4086 loss_g=1.4497 d_real=0.7388 d_fake=0.2370
epoch=185 loss_d=0.5111 loss_g=1.8077 d_real=0.6667 d_fake=0.2651
epoch=186 loss_d=0.5198 loss_g=1.1501 d_real=0.7147 d_fake=0.3274
epoch=187 loss_d=0.5509 loss_g=1.2993 d_real=0.6648 d_fake=0.3254
epoch=188 loss_d=0.4652 loss_g=1.3005 d_real=0.6912 d_fake=0.2486
epoch=189 loss_d=0.5350 loss_g=1.2100 d_real=0.6691 d_fake=0.3260
epoch=190 loss_d=0.5349 loss_g=1.1702 d_real=0.6466 d_fake=0.3089
epoch=191 loss_d=0.5220 loss_g=1.1665 d_real=0.6548 d_fake=0.3136
epoch=192 loss_d=0.5122 loss_g=1.0605 d_real=0.6674 d_fake=0.3295
epoch=193 loss_d=0.5306 loss_g=1.1847 d_real=0.6593 d_fake=0.3176
epoch=194 loss_d=0.5747 loss_g=1.1417 d_real=0.6398 d_fake=0.3533
epoch=195 loss_d=0.5528 loss_g=1.1054 d_real=0.6426 d_fake=0.3343
epoch=196 loss_d=0.4973 loss_g=1.2929 d_real=0.6730 d_fake=0.2944
epoch=197 loss_d=0.5391 loss_g=1.0739 d_real=0.6457 d_fake=0.3168
epoch=198 loss_d=0.5314 loss_g=1.1448 d_real=0.6501 d_fake=0.3323
epoch=199 loss_d=0.5212 loss_g=1.1807 d_real=0.6511 d_fake=0.2916
epoch=200 loss_d=0.5520 loss_g=1.0763 d_real=0.6441 d_fake=0.3544
epoch=201 loss_d=0.5505 loss_g=1.1037 d_real=0.6343 d_fake=0.3262
epoch=202 loss_d=0.5190 loss_g=1.2054 d_real=0.6513 d_fake=0.3039
epoch=203 loss_d=0.5239 loss_g=1.0049 d_real=0.6668 d_fake=0.3449
epoch=204 loss_d=0.5653 loss_g=1.0934 d_real=0.6190 d_fake=0.3239
epoch=205 loss_d=0.5489 loss_g=1.1801 d_real=0.6525 d_fake=0.3360
epoch=206 loss_d=0.4794 loss_g=1.3236 d_real=0.7151 d_fake=0.3112
epoch=207 loss_d=0.5427 loss_g=1.1611 d_real=0.6400 d_fake=0.3216
epoch=208 loss_d=0.5263 loss_g=1.2216 d_real=0.6193 d_fake=0.2976
